,FileID,paragraphCount,Readability,male,female,TypeTokenRatio,sentimentpos,sentimentneg,sentimentneu,Names,Setting,tensefuture,tensepast,tensepresent,Coordinatingconjunction,PersonalPronoun,PossessivePronoun,Genre
399,399,90.5,23.99224,33,10,29.27899,0.09433,0.084,0.8215,116,250.33333,138.5,824.16667,361.33333,384.16667,606.83333,252.83333,Literary
400,400,165.58333,44.57259,37,20,24.80774,0.10717,0.09117,0.80183,130,382.58333,128.16667,982.83333,377.66667,369.91667,877.58333,293.91667,Detective and Mystery
401,401,90.20833,27.11583,116,53,28.27353,0.13458,0.09187,0.77363,547,734.54167,121.58333,755.33333,433.625,353.95833,662.45833,262.91667,Literary
402,402,145.5,49.29683,44,19,27.00577,0.13183,0.07083,0.79767,137,426.66667,131.16667,810,468,413.66667,852.33333,213,Literary
403,403,96.24,29.06609,132,54,27.33953,0.12948,0.0864,0.7842,472,665.64,123.52,746.08,440.92,401.72,654,248.4,Literary
404,404,218.92857,44.19166,48,22,25.65389,0.14929,0.098,0.75286,143,626.35714,144.78571,323.07143,956.42857,329.07143,872.71429,285.14286,Literary
405,405,171.77778,50.88955,27,11,21.30641,0.12944,0.07822,0.79233,78,412.22222,196.33333,870.77778,519.88889,269.33333,958.33333,206.55556,Detective and Mystery
406,406,101,38.39302,15,4,35.76626,0.13175,0.0895,0.7785,55,169.5,114.25,992.25,331.25,401.75,688.5,294,Literary
407,407,194.16667,48.20339,28,27,22.97613,0.12167,0.09906,0.77933,131,543.66667,179.16667,875.11111,425.22222,342.55556,967.22222,302.55556,Literary
408,408,76.4,43.29456,14,13,30.09696,0.1117,0.0748,0.8137,91,176.6,117.6,843.5,458,367.1,885.7,220.3,Literary
409,409,172,41.26644,35,19,27.80308,0.12425,0.0965,0.77925,108,480.375,175.5,669.5,518.875,366,910.125,230.125,Literary
410,410,120.14286,45.98279,37,20,30.18194,0.10843,0.06514,0.82643,184,447.64286,125.71429,894.64286,395.28571,332.78571,767.28571,233.57143,Sea and Adventure
411,411,298.83333,52.2519,17,7,23.63274,0.13433,0.0715,0.79383,44,644.66667,157.66667,908.16667,499.5,295,1139.16667,262.5,Literary
412,412,110.28571,44.17557,27,8,29.10374,0.10643,0.08229,0.81129,72,187.85714,124.28571,913.57143,327.14286,236.28571,618,229,Literary
413,413,118.5,42.25111,41,10,24.01651,0.104,0.0588,0.8373,132,379.2,179.4,966.1,405.2,268.9,935.4,275.7,Literary
414,414,114.95238,26.15215,148,42,33.48733,0.12238,0.08071,0.797,673,796.42857,119.71429,718.85714,391.52381,394.7619,592,257.19048,Literary
415,415,164.27273,50.83125,54,41,24.05313,0.11927,0.08245,0.79827,202,514.27273,217.27273,938.63636,382.90909,326.18182,982.45455,219.54545,Literary
416,416,169.375,41.30727,26,11,25.67518,0.11475,0.06875,0.81625,87,431.125,150.75,782.25,466.875,355.75,760.625,257.75,Sea and Adventure
417,417,154.58824,32.09571,91,38,30.27873,0.13206,0.093,0.77494,414,436,137.35294,770,389.76471,368.11765,639.35294,234.23529,Sea and Adventure
418,418,43.66667,29.39602,161,64,34.44181,0.12567,0.08783,0.78683,550,550,170.5,361.5,706.83333,340.33333,518.5,174.16667,Literary
419,419,137.5,32.74292,105,31,31.80023,0.13183,0.08522,0.78317,411,735,162.16667,721.72222,439.11111,373.33333,859.33333,254,Literary
420,420,161.66667,39.1289,47,7,28.87086,0.12378,0.08878,0.78767,197,524.77778,170.33333,802.88889,405.33333,419.77778,919.33333,265.88889,Literary
421,421,274,43.65669,44,11,25.58738,0.13738,0.07012,0.7925,119,748.75,142.875,767.875,530.625,247.625,879.625,258.75,Detective and Mystery
422,422,239.66667,43.11263,6,7,24.3595,0.101,0.17233,0.72667,41,385.33333,144,793,404.33333,447,747.66667,286.33333,Literary
423,423,204.76923,48.08568,45,41,25.61717,0.118,0.06738,0.81454,196,549.61538,112.61538,983.76923,331.92308,367.15385,839.46154,377.69231,Literary
424,424,182.08333,38.87785,111,35,29.73596,0.12687,0.09504,0.77817,411,831.70833,164.875,678.70833,498.41667,347.41667,852.04167,228.91667,Literary
425,425,144.76923,44.60618,18,23,26.93533,0.159,0.082,0.75908,100,359.30769,173.69231,827.46154,463.69231,343,788.30769,233.69231,Literary
